open,high,low,close,volume
249.2460,249.3700,249.2200,249.3000,14269
249.1700,249.2800,249.1700,249.2200,9978
249.0750,249.1750,249.0500,249.1700,8134
249.0800,249.1000,249.0500,249.0800,8240
249.1800,249.1800,249.1000,249.1000,6238
249.1500,249.1600,249.1000,249.1600,4422
249.1400,249.2000,249.1400,249.1599,1661
249.1750,249.2000,249.1400,249.1401,4261
249.1400,249.2000,249.1400,249.1500,4249
249.1500,249.1900,249.1400,249.1499,3312
249.3000,249.3000,249.1500,249.1900,4003
249.3400,249.3400,249.2900,249.2999,4861
249.2400,249.3700,249.2000,249.3400,6586
249.2800,249.3500,249.2000,249.2800,6936
249.3700,249.3900,249.2300,249.2900,6990
249.3500,249.3700,249.2900,249.3600,4164
249.3200,249.3500,249.2700,249.3500,4562
249.3200,249.3700,249.2600,249.2950,3533
249.2700,249.3400,249.2200,249.3400,4510
249.2300,249.2900,249.2000,249.2137,4427
249.2700,249.2700,249.2000,249.2600,4331
249.2350,249.3100,248.9800,249.2100,49496
249.2300,249.4000,249.2000,249.2100,4002
249.1500,249.3300,249.1400,249.1850,5410
249.1400,249.2050,248.9800,249.1600,731234
249.2700,249.3300,249.1100,249.1100,6373
249.3300,249.3500,249.2100,249.2700,8225
249.3100,249.3400,249.2800,249.3400,9551
249.3000,249.3400,249.2900,249.3150,2117
249.2500,249.3300,248.9800,249.3100,19340
249.3000,249.3400,249.2100,249.2550,7444
249.3100,249.3400,249.2500,249.3400,4442
249.2500,249.3200,248.9800,249.3100,433719
249.1800,249.2900,249.1100,249.2500,8298
249.1100,249.2000,249.1000,249.1750,3915
249.1700,249.2400,249.0900,249.1300,6961
249.1500,249.2700,235.4799,249.2100,8863
249.1200,255.1777,237.6031,249.2200,16475
249.1100,249.2000,249.0400,249.0800,15070
249.1100,249.1500,249.0300,249.1400,7060
249.1100,249.1500,248.9800,249.0300,8564
249.0500,249.1500,248.9700,249.0750,40825
248.9800,249.1500,248.9200,249.0500,15384
248.9600,249.0500,248.8500,248.9700,15131
249.0300,249.1500,248.9100,249.0100,17903
248.9500,249.1600,248.9100,248.9800,35984
248.9500,249.0900,248.8141,248.9450,31117
248.8500,250.0309,248.8500,248.9400,4543408
248.9300,249.3599,248.7300,248.8500,1544785
248.6600,249.0000,248.1100,248.9583,737091
248.8700,248.9899,248.5200,248.6900,567605
248.9950,249.3300,248.8676,248.9299,415221
248.9700,249.0854,248.7000,248.9950,301028
249.1200,249.2899,248.7100,249.0024,434380
249.1000,249.2800,248.8500,249.1700,281478
249.4300,249.4900,248.8941,249.0600,397127
249.1100,249.5500,248.8201,249.4434,557088
248.5601,249.2700,248.4800,249.1250,642668
248.1400,248.6699,247.9900,248.5700,460994
248.0135,248.1700,247.7000,248.1250,325133
247.6898,248.1100,247.4500,248.0300,300793
247.7000,247.9000,247.6000,247.6300,244756
248.0300,248.1300,247.5300,247.6600,330681
248.0750,248.3100,247.7300,248.0363,308931
248.3408,248.3800,247.7700,248.0400,327780
248.2300,248.3900,248.0000,248.3450,354822
248.0877,248.3800,247.9500,248.2250,402638
247.5399,248.1200,247.3200,248.0800,433613
247.6300,247.9400,247.5100,247.5100,368910
247.1999,247.7000,246.8801,247.6350,411840
247.3330,247.3699,246.8100,247.2200,383944
246.8600,247.4800,246.8200,247.3700,490823
247.7300,247.7700,246.8100,246.8694,594520
247.3532,247.9300,247.3200,247.7568,332765
247.2771,247.5400,247.0900,247.2901,323754
247.5159,247.5159,247.1200,247.2850,326071
247.8950,248.0888,247.4001,247.5099,497639
248.5101,248.7168,247.7500,247.9700,633268
248.3200,248.6800,248.1600,248.5455,684987
247.8200,248.4000,247.6700,248.3100,500223
247.6200,247.8800,247.5400,247.8050,340377
246.8599,247.7599,246.7500,247.6237,634878
247.1300,247.4698,246.6300,246.8961,814487
246.9000,247.3400,246.6800,247.1650,625141
247.2200,247.5500,246.7584,246.9200,812088
247.2200,247.7699,247.1300,247.2100,618144
247.5500,247.9260,247.2000,247.2018,775681
248.7000,248.7000,247.4100,247.5600,968977
248.7650,249.0400,248.3100,248.6900,565628
248.9295,249.2900,248.1500,248.7500,888886
249.3200,249.4500,248.7200,248.8900,579155
248.9600,249.4900,248.7500,249.3018,624998
250.4299,250.5400,248.7000,248.9775,1525778
250.9019,251.0600,250.3400,250.3950,349666
250.5500,250.9200,250.2600,250.9000,447051
250.2550,250.6000,250.0000,250.5983,791398
250.7088,250.7300,250.1100,250.2580,452867
250.8900,251.0600,250.2100,250.6900,876731
251.2295,251.4500,250.6500,250.8950,790404
252.4200,252.5400,251.0800,251.2300,844597
